chrom,start,end,cm/mb,recombinants,Number_individuals,,,,
chr2,639092,955935,1.336318009,2,314,TRUE,FALSE,4267148,5244985
chr2,639092,955935,1.71225825,4,491,TRUE,FALSE,4267148,5244985
chr2,639092,955935,1.781776328,4,472,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,479,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,430,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,448,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,472,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,408,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,491,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,472,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,521,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0,0,492,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0.637273479,1,502,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0.639827688,1,500,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0.647614658,1,494,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0.650252607,1,492,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0.654250073,1,489,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0.680754952,1,470,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,0.842412479,1,380,TRUE,FALSE,4267148,5244985
chr2,968549,1281760,1.020046885,1,314,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,479,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,314,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,468,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,430,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,500,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,449,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,501,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,472,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,487,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,409,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,490,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,492,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,473,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,379,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,494,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,521,TRUE,FALSE,4267148,5244985
chr2,1281760,1428702,0,0,491,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,1.040274998,5,486,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,1.364687094,6,446,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,1.47483509,7,482,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,1.57074771,7,453,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,1.640652723,8,496,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,1.748140251,8,466,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,1.995032045,6,307,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,2.056539814,9,447,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,2.217122039,7,323,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,2.303828035,9,400,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,2.387829227,12,515,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,2.41976678,11,466,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,2.446663734,11,461,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,2.461254778,9,375,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,3.039962765,14,475,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,3.934942305,18,476,TRUE,FALSE,4267148,5244985
chr2,2010774,3010066,4.436422842,21,495,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,1.040274998,5,486,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,1.364687094,6,446,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,1.47483509,7,482,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,1.57074771,7,453,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,1.640652723,8,496,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,1.748140251,8,466,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,1.995032045,6,307,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,2.056539814,9,447,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,2.217122039,7,323,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,2.303828035,9,400,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,2.387829227,12,515,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,2.41976678,11,466,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,2.446663734,11,461,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,2.461254778,9,375,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,3.039962765,14,475,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,3.934942305,18,476,TRUE,FALSE,4267148,5244985
chr2,2405088,2566113,4.436422842,21,495,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,1.040274998,5,486,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,1.364687094,6,446,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,1.47483509,7,482,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,1.57074771,7,453,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,1.640652723,8,496,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,1.748140251,8,466,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,1.995032045,6,307,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,2.056539814,9,447,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,2.217122039,7,323,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,2.303828035,9,400,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,2.387829227,12,515,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,2.41976678,11,466,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,2.446663734,11,461,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,2.461254778,9,375,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,3.039962765,14,475,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,3.934942305,18,476,TRUE,FALSE,4267148,5244985
chr2,2745945,2923877,4.436422842,21,495,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,0,0,475,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,0,0,461,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,0,0,446,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,0,0,453,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,0,0,323,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,0,0,470,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,0.983934353,1,494,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.000164244,1,486,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.008481642,1,482,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.010582651,1,481,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.021220395,1,476,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.043182191,1,466,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.171690614,1,415,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.297005687,1,375,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.585231038,1,307,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.891155667,2,515,TRUE,FALSE,4267148,5244985
chr2,3010066,3216218,1.967876803,2,495,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,0,0,414,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,0,0,435,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,0,0,471,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,0,0,479,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,0.715814325,1,479,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,0.718821957,1,477,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,0.877332046,1,391,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,0.939998925,1,365,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,1.410971907,2,487,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,1.416814507,2,485,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,1.484429044,2,463,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,1.487656104,2,462,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,1.500705886,2,458,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,1.551750992,2,443,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,2.036683268,3,507,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,2.258506384,2,305,TRUE,FALSE,4267148,5244985
chr2,3216218,3508480,2.455726959,3,421,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,0,0,414,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,0,0,435,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,0,0,471,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,0,0,479,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,0.715814325,1,479,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,0.718821957,1,477,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,0.877332046,1,391,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,0.939998925,1,365,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,1.410971907,2,487,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,1.416814507,2,485,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,1.484429044,2,463,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,1.487656104,2,462,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,1.500705886,2,458,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,1.551750992,2,443,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,2.036683268,3,507,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,2.258506384,2,305,TRUE,FALSE,4267148,5244985
chr2,3275323,3420999,2.455726959,3,421,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,0,0,298,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,0,0,480,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,0,0,456,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,0,0,479,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,0.54317659,1,442,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,1.006478467,2,478,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,1.039227629,2,463,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,1.10899156,2,434,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,1.520912282,2,317,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,1.86175095,3,389,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,1.974279309,3,367,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,2.047404263,4,472,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,2.092109662,4,462,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,2.281406746,4,424,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,2.897808275,6,502,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,2.994411785,6,486,TRUE,FALSE,4267148,5244985
chr2,3508480,3925946,3.04516995,6,478,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,0,0,298,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,0,0,480,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,0,0,456,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,0,0,479,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,0.54317659,1,442,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,1.006478467,2,478,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,1.039227629,2,463,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,1.10899156,2,434,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,1.520912282,2,317,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,1.86175095,3,389,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,1.974279309,3,367,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,2.047404263,4,472,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,2.092109662,4,462,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,2.281406746,4,424,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,2.897808275,6,502,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,2.994411785,6,486,TRUE,FALSE,4267148,5244985
chr2,3599340,3828573,3.04516995,6,478,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,0.93557838,1,472,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,1.802287165,2,491,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,2.068826256,2,428,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,2.350191643,2,377,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,2.597221164,3,512,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,2.720137975,3,489,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,2.737033675,3,486,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,2.771462673,2,320,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,3.58995115,4,495,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,3.649414735,4,487,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,3.807064523,4,467,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,3.978950166,4,447,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,4.590340562,5,485,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,4.748640218,5,469,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,5.53618014,5,403,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,5.836854646,4,306,TRUE,FALSE,4267148,5244985
chr2,3925946,4152880,6.321329652,7,495,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,0,0,314,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,0,0,472,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,0,0,489,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,0,0,407,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,0,0,473,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,0.952249202,1,519,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,1.004613352,1,492,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,1.038453058,1,476,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,1.051738211,1,470,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,1.1010386,1,449,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,1.14980272,1,430,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,2.005151181,2,494,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,2.013335563,2,492,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,2.017452859,2,491,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,2.965553607,3,502,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,2.98349086,3,499,TRUE,FALSE,4267148,5244985
chr2,4152880,4355611,3.925264342,3,380,TRUE,FALSE,4267148,5244985
chr2,4355611,4483794,0,0,477,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,0,0,447,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,0,0,502,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,0,0,472,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,0,0,491,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,1.500260794,1,521,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,1.585641719,1,493,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,1.58887114,1,492,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,1.598638818,1,489,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,1.66695692,1,469,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,1.822747829,1,429,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,1.916796612,1,408,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,2.05840755,1,380,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,3.1393918,2,499,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,3.312693589,2,473,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,5.000931648,2,314,FALSE,FALSE,4267148,5244985
chr2,4355611,4483794,6.394689536,4,492,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,0.733599469,1,314,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,0.935303962,2,493,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,0.983371548,2,469,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,1.329836409,3,521,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,1.411590647,3,491,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,1.617039779,3,429,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,1.89378193,4,489,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,1.962576446,4,472,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,2.310096576,5,502,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,2.458507784,5,472,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,2.848978108,5,408,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,3.124217989,6,447,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,3.267112674,7,499,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,3.314273381,7,492,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,3.683992853,6,380,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,3.90043206,8,479,FALSE,FALSE,4267148,5244985
chr2,4483794,4919304,4.279051548,9,492,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,0.733599469,1,314,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,0.935303962,2,493,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,0.983371548,2,469,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,1.329836409,3,521,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,1.411590647,3,491,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,1.617039779,3,429,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,1.89378193,4,489,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,1.962576446,4,472,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,2.310096576,5,502,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,2.458507784,5,472,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,2.848978108,5,408,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,3.124217989,6,447,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,3.267112674,7,499,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,3.314273381,7,492,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,3.683992853,6,380,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,3.90043206,8,479,FALSE,FALSE,4267148,5244985
chr2,4531280,4692117,4.279051548,9,492,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,0,0,489,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,0,0,491,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,1.042335587,1,493,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,1.044458476,1,492,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,1.088809285,1,472,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,1.353112381,1,380,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,1.638434976,1,314,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,2.182261693,2,472,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,2.294549551,2,449,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,2.520061574,2,409,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,2.975826838,3,520,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,3.095581274,3,500,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,3.294446191,3,470,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,4.110936971,4,503,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,4.203605639,4,492,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,4.318657055,4,479,FALSE,FALSE,4267148,5244985
chr2,4919304,5114301,4.815431687,4,430,FALSE,FALSE,4267148,5244985
chr2,5114301,5532637,0.533577451,1,449,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,0.960014402,2,500,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,0.977683574,2,491,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,1.434271017,3,503,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,1.475588501,3,489,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,1.478631029,3,488,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,1.955399859,4,493,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,2.320871961,5,520,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,2.454319308,5,492,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,2.958595382,5,409,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,3.084587981,4,314,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,3.545378813,7,479,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,3.591034292,7,473,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,3.598758112,7,472,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,3.614305868,7,470,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,3.835232272,6,380,FALSE,TRUE,4267148,5244985
chr2,5114301,5532637,3.956143916,7,430,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,0.533577451,1,449,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,0.960014402,2,500,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,0.977683574,2,491,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,1.434271017,3,503,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,1.475588501,3,489,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,1.478631029,3,488,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,1.955399859,4,493,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,2.320871961,5,520,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,2.454319308,5,492,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,2.958595382,5,409,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,3.084587981,4,314,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,3.545378813,7,479,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,3.591034292,7,473,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,3.598758112,7,472,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,3.614305868,7,470,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,3.835232272,6,380,FALSE,TRUE,4267148,5244985
chr2,5243988,5363347,3.956143916,7,430,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,0.533577451,1,449,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,0.960014402,2,500,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,0.977683574,2,491,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,1.434271017,3,503,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,1.475588501,3,489,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,1.478631029,3,488,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,1.955399859,4,493,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,2.320871961,5,520,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,2.454319308,5,492,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,2.958595382,5,409,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,3.084587981,4,314,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,3.545378813,7,479,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,3.591034292,7,473,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,3.598758112,7,472,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,3.614305868,7,470,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,3.835232272,6,380,FALSE,TRUE,4267148,5244985
chr2,5260981,5430117,3.956143916,7,430,FALSE,TRUE,4267148,5244985
